[main_menu]|en|fi|pt|ru|zh|ja|ko|de
separator_thousand|Thousands Separator|Tuhansien erotin|Thousands Separator|Thousands Separator|Thousands Separator|Thousands Separator|Thousands Separator|Thousands Separator
separator_decimal|Decimal Separator|Desimaalien erotin|Decimal Separator|Decimal Separator|Decimal Separator|Decimal Separator|Decimal Separator|Decimal Separator
emote_menu|Emotes|Hymiöt|Emotes|Emotes|Emotes|Emotes|Emotes|Emotes
cutscene_skip|Skip Cutscene|Ohita kohtaus|Skip Cutscene|Skip Cutscene|Skip Cutscene|Skip Cutscene|Skip Cutscene|Skip Cutscene
||||||||
[relics]||||||||
relics|Relics|Aarteet|Reliquias|Реликвии|遗物|遺物|유물|Relikte
relic_0|Devil Horn|Pirunsarvi|Buzina do Mal|Дьявольский рог|恶魔之角|デビル・ホーン|악마의 뿔|Teufelshorn
relic_1|Demon Sheep|Paholaislammas|Ovelha do Demônio|Демоническая овца|恶魔羊|デーモン・シープ|악마의 양|Dämonenschaf
relic_2|Doom Flute|Tuhon huilu|Flauta da desgraça|Роковая флейта|末日之笛|ドゥーム・フルート|파멸의 피리|Verderbensflöte
relic_3|Frozen Orb|Jääkristalli|Orbe congelado|Ледяная сфера|霜冻之球|フローズン・オーブ|얼어붙은 구슬|Gefrorene Kugel
relic_4|Nunchucks|Nunchakut|Nunchucks|Нунчаки|双截棍|ヌンチャク|쌍절곤|Nunchakus
relic_5|Poison Spear|Myrkkykeihäs|Lança venenosa|Отравленное копье|毒矛|ポイズン・スピア|맹독 창|Giftspeer
relic_6|Rubber Duck|Kumiankka|Pato de borracha|Резиновая утка|橡胶鸭|ゴム製のアヒル|욕조용 오리|Badeente
relic_7|Skull Axe|Pääkallokirves|Machado de crânio|Крушитель черепов|骷髅斧|スカル・アックス|해골 도끼|Totenkopf-Axt
relic_8|Spectral Arrow|Haamunuolet|Flecha espectral|Призрачная стрела|幽灵箭|スペクトル・アロー|유령 화살표|Spektralpfeil
relic_9|The Spoon|Lusikka|A colher|Ложка|勺子|スプーン|구부러진 숟가락|Der Löffel
relic_10|Storm Dagger|Myrskytikari|Adaga da tempestade|Штормовой кинжал|风暴匕首|ストーム・ダガー|폭풍 단검|Sturmdolch
relic_11|Odin's Sword|Odinin miekka|Espada de Odin|Меч Одина|奥丁之剑|オーディンのソード|오딘의 검|Odins Schwert
relic_12|The Amputation Kit|Amputointivälineet|O Kit de Amputação|Набор для ампутации|截肢工具包|切断キット|절단 수술 키트|Das Amputationskit
relic_13|Skullbat|Kallolepakko|Bastão de crânio|Летучий череп|骷髅蝙蝠|スカル・バット|해골 박쥐|Totenkopf-Fledermaus
relic_14|Ankh|Ankh|Ankh|Анх|生命之符|アンク|앙크|Ankh
relic_15|Shredder|Silppuri|Triturador|Измельчитель|粉碎器|シュレッダー|분쇄날|Schredder
relic_16|Stigmata|Stigmata|Estigmas|Стигматы|圣痕|スティグマタ|성흔|Stigmata
relic_17|Magic Mushroom|Taikasieni|Cogumelo Mágico|Волшебный гриб|魔法菇|マジック ・ マッシュルーム|마법 버섯|Magischer Pilz
relic_18|Jefre's Subscription|Jefren tilaus|Assinatura da Jefre|Подписка Джефре|杰尔弗的手稿|ジェフルの定期購読|제프리의 구독서|Jefre's Abo
relic_19|Rock Belt|Rock-vyö|Cinto de rocha|Рокерский пояс|火箭腰带|ロックベルト|록 벨트|Felsengürtel
relic_20|Sausage|Makkara|Linguiça|Сосиска|香肠|ソーセージ|소시지|Wurst
relic_21|Spirit Skull|Sielupääkallo|Espírito Crânio|Череп духа|灵魂头骨|スピリット・スカル|영혼의 해골|Geisterschädel
relic_22|Apple|Omena|Maçã|Яблоко|苹果|リンゴ|사과|Apfel
relic_23|F.E.T.U.S.|S.I.K.I.Ö.|F.E.T.U.S.|Плод|胎儿|胎児|ㅌ.ㅐ.ㅇ.ㅏ.|F.E.T.U.S.
relic_24|The Eye|Silmä|O olho|Глаз|眼|目|눈알|Das Auge
relic_25|Devil Skull|Pirukallo|Crânio do diabo|Череп дьявола|恶魔头骨|デビル・スカル|악마의 해골|Teufelsschädel
relic_26|Whip|Ruoska|Chicote|Плеть|鞭子|ホイップ|채찍|Peitsche
relic_27|Cake|Kakku|Bolo|Тортик|蛋糕|ケーキ|케이크|Kuchen
relic_28|Cookies & Milk|Keksejä & Maitoa|Biscoitos & Leite|Печеньки с молоком|饼干&牛奶|クッキー＆ミルク|쿠키와 우유|Kekse & Milch
relic_29|Blazing Boots|Liekkisaappaat|Botas da ardência|Пылающие сапоги|闪耀之靴|ブレイジングブーツ|불타는 부츠|Flammende Stiefel
relic_30|Charmed Blood|Lumottu veri|Sangue Encantado|Зачарованная кровь|魅力之血|魅惑な血|매혹의 피|Verzaubertes Blut
relic_31|Shrunken Head|Kutistunut pää|Cabeça encolhida|Высушенная голова|干缩头颅|シュルンケンヘッド|일그러진 얼굴|Schrumpfkopf
relic_32|Odd Book of Spells|Outo taikakirja|Livro ímpar de magias|Странная книга заклинаний|奇怪的咒语书|奇妙な呪文書|이상한 주문서|Seltsames Zauberbuch
relic_33|Ancient Rock|Muinainen kivi|Pedra antiga|Древний камень|远古之石|古の岩|고대의 바위|Uraltes Gestein
relic_34|The Holy Bible|Raamattu|A Bíblia Sagrada|Библия|圣经|ホーリー・バイブル|성경|Die Heilige Bibel
relic_35|DaBox|LaaTikko|DaBox|Коробка|雾化器|ダボックス|그상자|DaBox
relic_36|Aaron's Staff|Aaronin sauva|Cajado de Aaron's|Посох Аарона|亚伦之杖|アーロンの杖|아론의 지팡이|Aarons Stab
relic_37|Ogre Club|Jättiläisnuija|Clube do ogro|Дубина огра|食人鬼俱乐部|オーガクラブ|오우거의 곤봉|Oger-Knüppel
relic_38|Titan's Gladius|Titaanin Gladius|O Gládio de Titã|Гладиус титана|泰坦短剑|タイタンのグラディウス|타이탄의 글라디우스|Titan-Gladius
relic_39|Basilisk's Tooth|Basiliskinhammas|Dente de Basilisk|Зуб Василиска|蛇怪之牙|バジリスクツース|바실리스크의 송곳니|Basiliskenzahn
relic_40|Twin Blade|Kaksoisterä|Lâmina dupla|Двойной клинок|双刃剑|ツインブレード|쌍둥이 칼날|Doppelklinge
relic_41|Hand Scythe|Käsiviikate|Foice de mão|Серп|手镰|ハンドサイケ|한손 낫|Handsense
relic_42|Templar Shield|Ritarikilpi|Escudo Templario|Щит тамплиера|圣堂之盾|テンプラー・シールド|템플 기사단의 방패|Templer-Schild
relic_43|King's Crown|Kuninkaan kruunu|Coroa do Rei|Королевская корона|皇冠|キングスクラウン|왕관|Königskrone
relic_44|Damned Buckler|Kirottu kilpi|Condenado Buckler|Проклятый баклер|诅咒圆盾|ダムド・バークラー|저주받은 둥근 방패|Verfluchter Buckler
relic_45|Dragon Shield|Lohikäärmekilpi|Escudo Dragão|Драконий щит|龙之盾|ドラゴン・シールド|용의 방패|Drachenschild
relic_46|Barbed Shield|Piikkikilpi|Escudo Farpado|Шипастый щит|带刺之盾|バーブド・シールド|미늘 방패|Stachelschild
relic_47|Helm of Chaos|Kaaoskypärä|Elmo do Caos|Шлем хаоса|混沌头盔|カオスヘルム|혼돈의 투구|Helm des Chaos
relic_48|Toxic Pendant|Ruttoriipus|Pingente da Praga|Амулет чумы|瘟疫挂坠|プレイグ・ペンダント|역병 펜던트|Pest-Anhänger
relic_49|Bracer of Life|Elämän rannekoru|Bracelete da Vida|Браслет жизни|生命护腕|ライフ・ブレーサー|생명의 팔찌|Armschiene des Lebens
relic_50|Token of Luck|Onnen symboli|Token da Sorte|Символ удачи|幸运令牌|幸運のトークン|행운의 징표|Glücksbringer
relic_51|The Allmighty Fedora|Kaikkivoipa fedora|O Poderoso Fedora|Потрясающая федора|全能软帽|オールマイティ・フェドラ|굉장한 페도라|Der Allmächtige Fedora
relic_52|Guardian Angel|Suojelusenkeli|Anjo Guardião|Ангел-хранитель|守护天使|守護天使|수호천사|Schutzengel
relic_53|Book of Belial|Belialin kirja|Livro de Belial|Книга Белиала|贝利尔之书|ベリアルの本|벨리알의 서|Buch des Belial
relic_54|Double Scythe|Tuplaviikate|Duas Foices|Двойная коса|双镰|ダブルサイケ|쌍낫|Doppel-Sense
relic_55|Fire & Ice|Tuli & Jää|Fogo e gelo|Огонь и лед|火&冰|ファイアー＆アイス|불과 얼음|Feuer & Eis
relic_56|Light Katana|Valokatana|Katana Leve|Световая катана|轻武士刀|ライトカターナ|광선도|Licht-Katana
relic_57|Dirge|Dirge|Dirge|Ритуальный кинжал|安灵曲|葬送歌|장송곡|Grabgesang
relic_58|The Skeleton Key|Pääkalloavain|A chave de esqueleto|Скелетный ключ|骷髅钥匙|スケルトン・キー|해골 열쇠|Der Skelettschlüssel
relic_59|Razorwire|Piikkilanka|Arame farpado|Колючая проволока|铁丝网|レザーワイヤー|가시 철사|Stacheldraht
relic_60|Rocket Battery|Ohjuspatteri|Bateria Foguete|Ракетная батарея|火箭电池|ロケットバッテリー|로켓 배터리|Raketenbatterie
relic_61|Rainbow Gate|Sateenkaari|Porta do arco-íris|Радуга|彩虹之门|レインボーゲート|무지개 관문|Regenbogen-Tor
relic_62|The Glove|Hanska|A luva|Перчатка|手套|手袋|장갑|Der Handschuh
relic_63|Fly Swatter|Kärpäslätkä|Mata-moscas|Мухобойка|苍蝇拍|ハエたたき|파리채|Fliegenklatsche
relic_64|Hellscream Axe|Hellscream kirves|Machado do Grito do Inferno|Топор Адского Крика|地狱尖啸之斧|ヘルスクリーム・アックス|헬스크림의 도끼|Höllenschrei-Axt
relic_65|Frostmourne|Frostmourne|Frostmourne|Ледяная Скорбь|霜之哀伤|フロストモーン|서리한|Frostgram
relic_66|Commander's Sword|Komentajan miekka|Espada do comandante|Меч командира|指挥官之剑|コマンダーのソード|사령관의 검|Schwert des Kommandanten
relic_67|Butcher's Knife|Teurastajan veitsi|Faca de açougueiro|Нож мясника|屠夫之刀|ブッチャーのナイフ|도살자의 칼|Metzgermesser
relic_68|War Zeppelin|Sotazeppeliini|Zeppelin da Guerra|Боевой дирижабль|齐柏林飞艇|ツェッペリン飛行船|전투 비행선|Kriegszeppelin
relic_69|Death's Scythe|Kuoleman viikate|Foice da Morte|Коса Смерти|死亡之镰|デスサイケ|사신의 낫|Die Sense des Todes
relic_70|Angel Staff of Apocalypse|Tuhon enkelisauva|Cajado de Anjo do Apocalipse|Посох Ангела Смерти|天使的启示之杖|アポカリプス・天使の杖|파멸을 부르는 천사의 지팡이|Engelstab der Apokalypse
relic_71|Rocket Barrage|Ohjustulitus|Barragem Foguete|Ракетный залп|火箭弹幕|ロケットバラージー|로켓 탄막|Raketen-Trommelfeuer
relic_72|Holy Water|Pyhä vesi|Água benta|Святая вода|圣水|ホーリー・ウオーター|성수|Weihwasser
relic_73|Shiv|Puukko|Estoque|Саи|剃刀|カミソリ|삼지창|Klinge
relic_74|Stickman Steve|Teemu Tikku-Ukko|Stickman Steve|Стикмен Стив|曲棍球手史蒂夫|スティックマンスティーブ|막대인간 스티브|Strichmännchen Steve
relic_75|Bomb|Pommi|Bomba|Бомба|炸弹|爆弾|폭탄|Bombe
relic_76|Rusted Cube|Ruostunut kuutio|Cubo Enferrujado|Ржавый куб|锈蚀方块|錆びたキューブ|녹슨 큐브|Rostiger Würfel
relic_77|Silver Cube|Hopeakuutio|Cubo de Prata|Серебряный куб|银方块|シルバーキューブ|은빛 큐브|Silberwürfel
relic_78|Golden Cube|Kultakuutio|Cubo Dourado|Золотой куб|金方块|ゴールデンキューブ|황금 큐브|Goldwürfel
relic_79|Rusted Dagger|Ruostunut tikari|Punhal enferrujado|Ржавый кинжал|锈蚀匕首|錆びたダガー|녹슨 단검|Rostiger Dolch
relic_80|Silver Dagger|Hopeatikari|Punhal de Prata|Серебряный кинжал|银匕首|シルバーダガー|은빛 단검|Silberner Dolch
relic_81|Golden Dagger|Kultatikari|Punhal Dourado|Золотой кинжал|金匕首|ゴールデンダガー|황금 단검|Goldener Dolch
relic_82|Rusted Sword|Ruostunut miekka|Espada Enferrujada|Ржавый меч|锈蚀剑|錆びたソード|녹슨 검|Rostiges Schwert
relic_83|Silver Sword|Hopeamiekka|Espada de Prata|Серебряный меч|银剑|シルバーソード|은빛 검|Silbernes Schwert
relic_84|Golden Sword|Kultamiekka|Espada Dourada|Золотой меч|金剑|ゴールデンソード|황금 검|Goldenes Schwert
relic_85|Rusted Ring|Ruostunut sormus|Anel Enferrujado|Ржавое кольцо|锈蚀戒指|錆びたリング|녹슨 반지|Rostiger Ring
