[talents]|en|fi|pt|ru|zh|ja|ko|de
pyromancer_desc_10|The Arsonist has a chance to ignite enemies on impact, causing Fire Flies to spread around to the closest enemies.|Tuhopolttajalla on mahdollisuus sytyttää viholliset iskun yhteydessä, jolloin tulikärpäset leviävät lähimmille vihollisille.|O Incendiário tem a chance de incendiar os inimigos no impacto, fazendo com que Fire Flies se espalhe para os inimigos mais próximos.|У Поджигателя есть шанс поджечь врагов при ударе, в результате чего огненные мухи распространяются вокруг ближайших врагов.|纵火犯有机会在撞击时点燃敌人，使萤火虫向最近的敌人蔓延。|放火犯は、衝撃で敵に火をつけるチャンスがあり、ホタルを最も近い敵に広げます。|방화범은 적중 시 일정 확률로 적에게 불을 붙여 파이어 플라이가 가장 가까운 적에게 퍼지게 합니다.|Der Brandstifter hat die Chance, Feinde beim Aufprall zu entzünden, wodurch sich Feuerfliegen auf die nächsten Feinde ausbreiten.
pyromancer_desc_11|Casts a swarm of fireballs in front of the Arsonist.|Loihtii parven tulipalloja Tuhopolttajan eteen.|Lança um enxame de bolas de fogo na frente do incendiário.|Поджигатель сотворяет и выпускает множество огненных снарядов перед собой.|向纵火犯面前投出大量火球。|放火犯の前に火の玉の群れを投げます。|방화범 앞에서 불 덩어리 떼를 시전합니다.|Wirft einen Schwarm Feuerbälle vor den Brandstifter.
pyromancer_desc_12|Casts a nova of fire impacting all enemies around the Arsonist|Loihtii tulisen novan, joka iskee kaikkiin vihollisiin Tuhopolttajan ympärillä.|Lança uma nova de fogo que afeta todos os inimigos ao redor do incendiário|Сотворяет Кольцо Огня, которое Поджигает врагов.|发射新星的火焰，影响纵火犯周围的所有敌人|放火犯の周りのすべての敵に影響を与える火の新星を投げます|방화범 주변의 모든 적에게 영향을주는 불의 신화를 시전합니다.|Wirkt eine Nova aus Feuer, die alle Feinde um den Brandstifter trifft
pyromancer_desc_13|Chance on auto attack and ability cast to apply Burn to the target dealing heavy damage over time.|Mahdollisuus hyökätessä ja taitojen käytössä asettaa Polte kohteeseen tuottaen paljon vahinkoa ajan myötä.|Chance de atacar e habilidade lançada de aplicar queimadura ao alvo, causando dano pesado ao longo do tempo.|Поджигатель имеет шанс при Базовой Атаке и при сотворении Способностей наложить на врага Горение.|攻击的几率和对目标施加灼伤的能力会随着时间的推移造成严重伤害。|時間の経過とともに大 きなダメージを与える ターゲットに攻撃を与 えるチャンスとアビリ ティキャスト。|공격시 일정 확률로 대상에게 화상을 입히면 일정 시간 동안 큰 피해를 입 힙니다.|Angriffschance und Fähigkeit, das Ziel zu verbrennen, das im Laufe der Zeit schweren Schaden verursacht.
pyromancer_desc_14|Increases the AOE range and damage of Fire Nova.|Nostaa tulisen novan kantamaa ja vahinkoa.|Aumenta o alcance da AOE e o dano da nova de fogo|Увеличивает область поражения и урон Кольца Огня.|增加了AOE射程并增加了火星的伤害|AOE範囲とファイアノバのダメージを増加させます|AOE의 범위와 화력의 피해 증가|Erhöht die AOE-Reichweite und den Schaden von Feuernova
pyromancer_desc_15|Targets inflicted with Burning now have reduced fire resistance and slows the target. Does not stack with Pandemonium of Flames.|Poltteella olevat kohteet saavat vähennetyn tulivastustuksen ja hidastuksen.|Os alvos infligidos à queima agora reduzem a resistência ao fogo e atrasam o alvo.|Цели под эффектом Горения имеют уменьшенное Сопротивление Огню и замедлены.|现在，造成灼伤的目标会降低耐火性并降低目标速度。|火傷を負ったターゲットは、火への耐性が低下し、ターゲットが遅くなります。|타는 대상은 이제 내화성을 감소시키고 대상을 느리게합니다.|Mit Brennen verursachte Ziele haben jetzt einen verringerten Feuerwiderstand und verlangsamen das Ziel.
pyromancer_desc_16|Summons a fiery Hydra to fight for the Arsonist temporarily.|Kutsuu Tulikäärmeen taistelemaan Tuhopolttajan puolesta.|Evoca uma hidra de fogo para lutar pelo incendiário.|Призывает Гидру.|召唤一个炽烈的水蛇为纵火犯战斗。|放火犯のために戦うために燃えるようなヒドラを召喚します。|방화범을 위해 싸우는 불 같은 히드라를 소환합니다.|Beschwört eine feurige Hydra, um für den Brandstifter zu kämpfen.
pyromancer_desc_17|Gives Arsonist a chance on attack to cast a chain of explosions that jump from enemy to enemy dealing AOE damage.|Antaa Tuhopolttajalle mahdollisuuden hyökkäykseen heittää räjähdysketjun, joka hyppää viholliselta toiseen tuottaen AOE-vaurioita.|Dá ao Incendiário uma chance no ataque de lançar uma cadeia de explosões que pulam de inimigo em inimigo, causando dano AOE.|Дарует Поджигателю шанс при Базовой Атаке сотворить цепной взрыв, который поражает врагов по цепи и наносит урон по области.|使纵火犯有机会受到攻击，施放一连串爆炸，爆炸从一个敌人跳到另一个对AOE造成伤害的敌人。|放火犯に攻撃のチャンスを与え、敵から敵にジャンプしてAOEダメージを与える一連の爆発をキャストします。|방화범에게 공격 기회를 주어 적에서 적에게 AOE 피해를주는 일련의 폭발을 시전합니다.|Gibt dem Brandstifter im Angriff die Chance, eine Explosionskette zu wirken, die von Feind zu Feind springt und AOE-Schaden verursacht.
pyromancer_desc_18|Calls a large wall of fire, dealing heavy damage to enemies. Regenerates a new charge every 10 seconds.|Kutsuu suuren tuliseinän tyhjäämään kentän. Uudistaa latauksen 10 sekunnissa.|Chama uma grande parede de fogo para limpar o campo. Regenera uma nova carga a cada 10 segundos.|Призывает стену огня. Расходует 1 заряд при применении. Максимум зарядов: 3 . Один заряд восстанавливается 10 секунд.|召集一堵大火墙以清除场地。每10秒钟重新产生一次新电荷。|大きな火の壁を呼び出してフィールドをクリアします。 10秒ごとに新しい充電を再生成します。|들판을 비우기 위해 큰 불의 벽을 부릅니다. 10 초마다 새로운 충전을 재생합니다.|Ruft eine große Feuerwand, um das Feld zu räumen. Regeneriert alle 10 Sekunden eine neue Ladung.
||||||||
marksman_talent_1|Critical Attack|Kriittinen hyökkäys|Ataque crítico|Критическая Атака|暴击|クリティカル・アタック|치명적인 공격|Kritischer Angriff
marksman_talent_2|Disengage|Irrottautuminen|Desengajamento|Отступление|脱出|脱出|이탈|Entkopplung
marksman_talent_3|Multishot|Moniampuminen|Multiplos tiros|Мультивыстрел|多重射击|マルチショット|멀티샷|Mehrfachschuss
marksman_talent_4|Arrow Rampage|Nuoliryntäys|Voracidade da Flecha|Град Стрел|狂暴箭|アロー・ラムページ（暴れ矢）|광란의 화살|Pfeilwut
marksman_talent_5|Arrow Rain|Nuolisade|Chuva de flechas|Ливень Стрел|箭雨|アローレイン|화살표 비|Pfeil Regen
marksman_talent_6|Armor Piercing Rounds|Panssarinlävistäjä|Rodadas de Piercing de Armadura|Бронебойные Снаряды|穿甲弹|アーマーピアスラウンド|아머 피어싱 라운드|Rüstungs-Piercing-Runden
marksman_talent_7|Agility|Ketteryys|Agilidade|Ловкость|敏捷|アジリティー（素早さ）|에너지성|Agilität
marksman_talent_8|Ballistics|Ballistiset Nuolet|Balística|Баллистика|弹道学|弾道学|탄도학|Ballistik
marksman_talent_9|Volatile Shot|Tuhoammus|Tiro volátil|Разрывной Снаряд|挥发射击|揮発ショット|휘발성 샷|Flüchtiger Schuss
marksman_talent_10|Explosives Technician|Räjähdeteknikko|Técnico de Explosivos|Взрывотехник|炸药技术员|爆発物技術者|폭발물 기술자|Sprengstofftechniker
marksman_talent_11|Multishot Turret|Moniammustorni|Torreta multipla|Турель|多重射击炮塔|マルチショット・ターレット|멀티샷 터렛|Selbstschussanlage
marksman_talent_12|Landmine|Maamiina|Minas terrestres|Минное поле|地雷|地雷|지뢰|Landmine
marksman_talent_13|Territorial Offense|Alueellinen Hyökkäys|Ofensa Territorial|Захватоборона Территории|属地罪行|領土犯罪|영토 범죄|Territoriale Straftat
marksman_talent_14|Master Mechanic|Mestarimekaanikko|Mestre mecânico|Мастер Механик|机械师|マスターメカニック|마스터 정비공|Meistermechaniker
marksman_talent_15|Cluster Bombs|Rypälepommit|Bombas de fragmentação|Кластерные Бомбы|集束炸弹|クラスター爆弾|클러스터 폭탄|Clusterbomben
marksman_talent_16|Safe Space|Turvapaikka|Espaço Seguro|Безопасное Расстояние|安全空间|安全なスペース|안전한 공간|Sicherer Raum
marksman_talent_17|Rocket Turrets|Rakettitornit|Torres de foguetes|Ракетные Турели|火箭炮塔|ロケット砲塔|로켓 포탑|Raketentürme
marksman_talent_18|Gunner Drones|Ampujarobotit|Drones de artilheiro|Дроны|炮手无人机|砲手ドローン|사수 드론|Schützen Drohnen
||||||||
marksman_desc_1|Gives Sharpshooter's attacks a chance to deal a guarenteed critical strike that also deals additional critical damage.|Antaa Tarkka-ampujan hyökkäyksille kriittisen iskun mahdollisuuden tuottaen lisättyä kriittistä vahinkoa.|Dá aos ataques do atirador cortante uma chance de causar um ataque crítico, causando dano crítico adicional.|Дарует Снайперу шанс нанести Дополнительный Критический Урон при Базовой Атаке.|使神枪手的攻击有一定几率造成致命一击，造成额外的致命伤害。|シャープシュータ ーの攻撃にクリテ ィカルストライク を行う機会を与え、クリティカルダメージを追加します。|샤프 슈터의 공격에 치명타를 가해 추가로 치명타를 입 힙니다.|Gibt Scharfschützenangriffen die Chance, einen kritischen Treffer zu erzielen und zusätzlichen kritischen Schaden zu verursachen.
marksman_desc_2|The Sharpshooter jumps backwards shooting projectiles behind him.|Tarkka-ampuja hyppää taaksepäin ja samalla ampuu nuolia taaksensa.|Atirador de elite pula para trás atirando projéteis atrás dele.|Снайпер отпрыгивает назад, отстреливаясь градом снарядов.|神枪手向后跳，射击身后的弹丸。|狙撃兵は後方に飛び跳ねて発射物を後方に撃ちます。|샤프 슈터는 그 뒤로 발사체를 발사하면서 뒤로 점프합니다.|Der Scharfschütze springt rückwärts und schießt hinter sich auf Projektile.
